Connector Part Type, Connector Part Number
1-Z-S-M, PN-90_49_83_77
1-Z-S-F, PN-90_49_83_70
1-Z-M-M, PN-90_49_77_77
1-Z-M-F, PN-90_49_77_70
1-Z-L-M, PN-90_49_76_77
1-Z-L-F, PN-90_49_76_70
1-W-S-M, PN-87_49_83_77
1-W-S-F, PN-87_49_83_70
1-W-M-M, PN-87_49_77_77
1-W-M-F, PN-87_49_77_70
1-W-L-M, PN-87_49_76_77
1-W-L-F, PN-87_49_76_70
1-A-S-M, PN-65_49_83_77
1-A-S-F, PN-65_49_83_70
1-A-M-M, PN-65_49_77_77
1-A-M-F, PN-65_49_77_70
1-A-L-M, PN-65_49_76_77
1-A-L-F, PN-65_49_76_70
2-Z-S-M, PN-90_50_83_77
2-Z-S-F, PN-90_50_83_70
2-Z-M-M, PN-90_50_77_77
2-Z-M-F, PN-90_50_77_70
2-Z-L-M, PN-90_50_76_77
2-Z-L-F, PN-90_50_76_70
2-W-S-M, PN-87_50_83_77
2-W-S-F, PN-87_50_83_70
2-W-M-M, PN-87_50_77_77
2-W-M-F, PN-87_50_77_70
2-W-L-M, PN-87_50_76_77
2-W-L-F, PN-87_50_76_70
2-A-S-M, PN-65_50_83_77
2-A-S-F, PN-65_50_83_70
2-A-M-M, PN-65_50_77_77
2-A-M-F, PN-65_50_77_70
2-A-L-M, PN-65_50_76_77
2-A-L-F, PN-65_50_76_70
3-Z-S-M, PN-90_51_83_77
3-Z-S-F, PN-90_51_83_70
3-Z-M-M, PN-90_51_77_77
3-Z-M-F, PN-90_51_77_70
3-Z-L-M, PN-90_51_76_77
3-Z-L-F, PN-90_51_76_70
3-W-S-M, PN-87_51_83_77
3-W-S-F, PN-87_51_83_70
3-W-M-M, PN-87_51_77_77
3-W-M-F, PN-87_51_77_70
3-W-L-M, PN-87_51_76_77
3-W-L-F, PN-87_51_76_70
3-A-S-M, PN-65_51_83_77
3-A-S-F, PN-65_51_83_70
3-A-M-M, PN-65_51_77_77
3-A-M-F, PN-65_51_77_70
3-A-L-M, PN-65_51_76_77
3-A-L-F, PN-65_51_76_70
